base_data_6.arff , idx: 0 , shape: (10000, 11) , #outliers: 487 , phi: 0.0 , rho: 0.17476481926272164
nonstat_data_11.arff , idx: 5 , shape: (10000, 3) , #outliers: 104 , phi: 0.09933005195515451 , rho: 0.20837978916167202
nonstat_data_20.arff , idx: 6 , shape: (10000, 23) , #outliers: 283 , phi: 0.08923284234408914 , rho: 0.668900447931622
nonstat_data_13.arff , idx: 7 , shape: (10000, 18) , #outliers: 459 , phi: 0.022275413709514486 , rho: 0.26844385053273667
nonstat_data_14.arff , idx: 8 , shape: (10000, 5) , #outliers: 215 , phi: 0.14181390893277276 , rho: 0.21926467710810418
nonstat_data_3.arff , idx: 9 , shape: (10000, 14) , #outliers: 109 , phi: 0.05856466423982976 , rho: 0.40104752451720216
nonstat_data_2.arff , idx: 10 , shape: (10000, 3) , #outliers: 353 , phi: 0.01648865730400551 , rho: 0.12598096925693344
nonstat_data_18.arff , idx: 11 , shape: (10000, 27) , #outliers: 282 , phi: 0.04093348678737877 , rho: 0.6339964080515252
nonstat_data_5.arff , idx: 12 , shape: (10000, 25) , #outliers: 237 , phi: 0.014768058785412855 , rho: 0.23745811482178802
nonstat_data_9.arff , idx: 13 , shape: (10000, 23) , #outliers: 402 , phi: 0.035942550557426484 , rho: 0.26194293889271525
nonstat_data_4.arff , idx: 14 , shape: (10000, 11) , #outliers: 250 , phi: 0.010101010101010102 , rho: 0.3053729509126513
nonstat_data_15.arff , idx: 15 , shape: (10000, 7) , #outliers: 317 , phi: 0.1622044662265235 , rho: 0.25078069212015225
nonstat_data_12.arff , idx: 16 , shape: (10000, 10) , #outliers: 383 , phi: 0.013227513227513234 , rho: 0.21055610955796555
nonstat_data_17.arff , idx: 17 , shape: (10000, 25) , #outliers: 442 , phi: 0.08774913854431948 , rho: 1.2490464139884416
nonstat_data_16.arff , idx: 18 , shape: (10000, 9) , #outliers: 461 , phi: 0.05536904013637425 , rho: 0.19090336021673388
nonstat_data_1.arff , idx: 19 , shape: (10000, 19) , #outliers: 286 , phi: 0.017211134897995282 , rho: 0.21277389505577854
overlap_data_5.arff , idx: 0 , shape: (10000, 13) , #outliers: 484 , phi: 0.43087608284754586 , rho: 0.3556201900098001
overlap_data_20.arff , idx: 1 , shape: (10000, 18) , #outliers: 390 , phi: 0.192818076068051 , rho: 0.40896388087039165
overlap_data_3.arff , idx: 2 , shape: (10000, 3) , #outliers: 225 , phi: 0.3080617342690614 , rho: 0.15779597889211502
overlap_data_18.arff , idx: 3 , shape: (10000, 29) , #outliers: 254 , phi: 0.14451760733013824 , rho: 0.7024311452063738
overlap_data_7.arff , idx: 4 , shape: (10000, 14) , #outliers: 491 , phi: 0.10277372835157865 , rho: 0.37970233322442504
overlap_data_4.arff , idx: 5 , shape: (10000, 24) , #outliers: 238 , phi: 0.2082971237781713 , rho: 0.8521759070009614
overlap_data_9.arff , idx: 6 , shape: (10000, 4) , #outliers: 426 , phi: 0.3077461015543764 , rho: 0.15699691136714436
overlap_data_2.arff , idx: 7 , shape: (10000, 19) , #outliers: 197 , phi: 0.3306949454441468 , rho: 0.5227729773919289
overlap_data_14.arff , idx: 8 , shape: (10000, 3) , #outliers: 189 , phi: 0.3049990340659768 , rho: 0.1440584354757661
overlap_data_15.arff , idx: 9 , shape: (10000, 6) , #outliers: 133 , phi: 0.26554408392271966 , rho: 0.2640604523479063
overlap_data_1.arff , idx: 10 , shape: (10000, 5) , #outliers: 231 , phi: 0.3514301430307719 , rho: 0.19467005578896887
overlap_data_8.arff , idx: 11 , shape: (10000, 30) , #outliers: 219 , phi: 0.09598494097036396 , rho: 0.860597082132358
overlap_data_6.arff , idx: 12 , shape: (10000, 17) , #outliers: 418 , phi: 0.11332073602524351 , rho: 0.42968964614445077
overlap_data_13.arff , idx: 13 , shape: (10000, 16) , #outliers: 101 , phi: 0.2159632121504011 , rho: 0.7359749484262502
overlap_data_17.arff , idx: 14 , shape: (10000, 22) , #outliers: 330 , phi: 0.4054830177959142 , rho: 0.7174791158664469
overlap_data_11.arff , idx: 15 , shape: (10000, 24) , #outliers: 203 , phi: 0.29151833317531284 , rho: 0.65781378089828
overlap_data_10.arff , idx: 16 , shape: (10000, 28) , #outliers: 394 , phi: 0.19629804060397082 , rho: 0.6156402149442911
overlap_data_12.arff , idx: 17 , shape: (10000, 19) , #outliers: 471 , phi: 0.3482862230938108 , rho: 0.7380330131486382
overlap_data_19.arff , idx: 18 , shape: (10000, 4) , #outliers: 478 , phi: 0.2560240789304116 , rho: 0.17765716595370665
overlap_data_16.arff , idx: 19 , shape: (10000, 29) , #outliers: 339 , phi: 0.1043304049894973 , rho: 0.7311830598298685
close_data_11.arff , idx: 0 , shape: (10000, 8) , #outliers: 142 , phi: 0.36687250272430094 , rho: 0.8951628802724886
close_data_16.arff , idx: 1 , shape: (10000, 15) , #outliers: 129 , phi: 0.3858490612240901 , rho: 0.7730313599996906
close_data_15.arff , idx: 2 , shape: (10000, 28) , #outliers: 363 , phi: 0.32689640157168826 , rho: 5.7027118854749475
close_data_20.arff , idx: 3 , shape: (10000, 29) , #outliers: 421 , phi: 0.32287316486713896 , rho: 1.8579130154924814
close_data_9.arff , idx: 4 , shape: (10000, 22) , #outliers: 284 , phi: 0.40423058876694495 , rho: 2.097343728859412
close_data_19.arff , idx: 5 , shape: (10000, 21) , #outliers: 391 , phi: 0.33107833061067893 , rho: 1.579542282102213
close_data_17.arff , idx: 6 , shape: (10000, 12) , #outliers: 258 , phi: 0.346931426127759 , rho: 0.7125494330010207
close_data_6.arff , idx: 7 , shape: (10000, 16) , #outliers: 163 , phi: 0.3518799401386928 , rho: 1.0513338184674772
close_data_8.arff , idx: 8 , shape: (10000, 15) , #outliers: 111 , phi: 0.472131956617076 , rho: 1.147991510649489
close_data_3.arff , idx: 9 , shape: (10000, 27) , #outliers: 379 , phi: 0.44902150011415004 , rho: 3.9011449577049433
close_data_5.arff , idx: 10 , shape: (10000, 25) , #outliers: 303 , phi: 0.25489094839543047 , rho: 1.1839857264118931
close_data_13.arff , idx: 11 , shape: (10000, 25) , #outliers: 146 , phi: 0.31314353830721536 , rho: 2.04944455370695
close_data_4.arff , idx: 12 , shape: (10000, 5) , #outliers: 195 , phi: 0.3822763395947461 , rho: 0.38994498387756976
close_data_18.arff , idx: 13 , shape: (10000, 21) , #outliers: 226 , phi: 0.3119120246308224 , rho: 1.4990547365657378
close_data_2.arff , idx: 14 , shape: (10000, 14) , #outliers: 399 , phi: 0.5095495545196257 , rho: 0.8006951968412809
close_data_1.arff , idx: 15 , shape: (10000, 25) , #outliers: 401 , phi: 0.26745717572851135 , rho: 2.5020769494350072
close_data_7.arff , idx: 16 , shape: (10000, 8) , #outliers: 392 , phi: 0.38638679317513885 , rho: 0.5130024859679152
close_data_12.arff , idx: 17 , shape: (10000, 10) , #outliers: 393 , phi: 0.31376634900198785 , rho: 0.847068324268465
close_data_10.arff , idx: 18 , shape: (10000, 11) , #outliers: 318 , phi: 0.27837258567185147 , rho: 0.9264437753181245
close_data_14.arff , idx: 19 , shape: (10000, 17) , #outliers: 107 , phi: 0.24576961845509657 , rho: 1.0097966531555715
dens-diff_data_2.arff , idx: 0 , shape: (10000, 16) , #outliers: 153 , phi: 0.1613988672708814 , rho: 0.665783807264876
dens-diff_data_3.arff , idx: 1 , shape: (10000, 17) , #outliers: 464 , phi: 0.2931771791712357 , rho: 0.3874506247623339
dens-diff_data_6.arff , idx: 2 , shape: (10000, 22) , #outliers: 219 , phi: 0.22885202527419204 , rho: 0.6673237627484875
dens-diff_data_17.arff , idx: 3 , shape: (10000, 15) , #outliers: 473 , phi: 0.39187021853303056 , rho: 0.4159930319419473
dens-diff_data_5.arff , idx: 4 , shape: (10000, 15) , #outliers: 319 , phi: 0.09917449059002557 , rho: 0.35065957770621153
dens-diff_data_4.arff , idx: 5 , shape: (10000, 22) , #outliers: 335 , phi: 0.2410463000317183 , rho: 0.5995333760436865
dens-diff_data_15.arff , idx: 6 , shape: (10000, 6) , #outliers: 373 , phi: 0.18674721591032098 , rho: 0.2095946335058009
dens-diff_data_9.arff , idx: 7 , shape: (10000, 13) , #outliers: 492 , phi: 0.27123767741318333 , rho: 0.3415771689439392
dens-diff_data_14.arff , idx: 8 , shape: (10000, 16) , #outliers: 420 , phi: 0.3301596746999899 , rho: 0.3549781948586113
dens-diff_data_10.arff , idx: 9 , shape: (10000, 20) , #outliers: 392 , phi: 0.13292889234345553 , rho: 0.6029238226434573
dens-diff_data_13.arff , idx: 10 , shape: (10000, 16) , #outliers: 480 , phi: 0.23151222456987625 , rho: 0.32642897374692187
dens-diff_data_8.arff , idx: 11 , shape: (10000, 26) , #outliers: 364 , phi: 0.17087357250394747 , rho: 0.6130737601014012
dens-diff_data_1.arff , idx: 12 , shape: (10000, 5) , #outliers: 108 , phi: 0.1782658469927274 , rho: 0.2513820987012545
dens-diff_data_16.arff , idx: 13 , shape: (10000, 11) , #outliers: 111 , phi: 0.32397075798384006 , rho: 0.5111229221275837
dens-diff_data_18.arff , idx: 14 , shape: (10000, 22) , #outliers: 437 , phi: 0.289591340824058 , rho: 0.7350076780976217
dens-diff_data_7.arff , idx: 15 , shape: (10000, 21) , #outliers: 194 , phi: 0.2156348527778524 , rho: 0.4563406850182773
dens-diff_data_11.arff , idx: 16 , shape: (10000, 18) , #outliers: 114 , phi: 0.12355132677282707 , rho: 0.7078060581696275
dens-diff_data_20.arff , idx: 17 , shape: (10000, 9) , #outliers: 117 , phi: 0.37831806982474103 , rho: 0.29341972750906575
dens-diff_data_19.arff , idx: 18 , shape: (10000, 10) , #outliers: 296 , phi: 0.31377929994804127 , rho: 0.336111030178319
dens-diff_data_12.arff , idx: 19 , shape: (10000, 3) , #outliers: 199 , phi: 0.294831591809177 , rho: 0.15423722952357263
h-out_data_10.arff , idx: 0 , shape: (10000, 21) , #outliers: 3659 , phi: 0.017378430202289397 , rho: 0.3005688503626549
h-out_data_17.arff , idx: 1 , shape: (10000, 27) , #outliers: 1767 , phi: 0.0 , rho: 0.15758928203520775
h-out_data_13.arff , idx: 2 , shape: (10000, 17) , #outliers: 2648 , phi: 0.08886353365459902 , rho: 0.141250492309319
h-out_data_19.arff , idx: 3 , shape: (10000, 9) , #outliers: 2996 , phi: 0.053260678502373024 , rho: 0.13278730476143427
h-out_data_1.arff , idx: 4 , shape: (10000, 13) , #outliers: 3095 , phi: 0.08245847673333287 , rho: 0.1981591546109507
h-out_data_16.arff , idx: 5 , shape: (10000, 5) , #outliers: 1507 , phi: 0.06433222294149071 , rho: 0.13561205820570035
h-out_data_7.arff , idx: 6 , shape: (10000, 30) , #outliers: 3593 , phi: 0.09904067434045088 , rho: 0.2676192180722196
h-out_data_12.arff , idx: 7 , shape: (10000, 7) , #outliers: 3978 , phi: 0.019472418747606687 , rho: 0.12970574245492608
h-out_data_3.arff , idx: 8 , shape: (10000, 18) , #outliers: 2334 , phi: 0.0002795256829315581 , rho: 0.3787451815979468
h-out_data_20.arff , idx: 9 , shape: (10000, 18) , #outliers: 2121 , phi: 0.0014164305949008501 , rho: 0.23816718975198367
h-out_data_5.arff , idx: 10 , shape: (10000, 20) , #outliers: 1967 , phi: 0.03071291965576566 , rho: 0.32330655254995005
h-out_data_2.arff , idx: 11 , shape: (10000, 25) , #outliers: 2289 , phi: 0.10255752359682352 , rho: 0.3811106308503373
h-out_data_9.arff , idx: 12 , shape: (10000, 24) , #outliers: 3410 , phi: 0.030678555236512008 , rho: 0.20149227828859845
h-out_data_14.arff , idx: 13 , shape: (10000, 18) , #outliers: 1655 , phi: 0.0788787483702738 , rho: 0.18572058706294065
h-out_data_4.arff , idx: 14 , shape: (10000, 14) , #outliers: 2371 , phi: 0.10047205347428755 , rho: 0.17580629322755845
h-out_data_6.arff , idx: 15 , shape: (10000, 9) , #outliers: 2606 , phi: 0.013219284603421456 , rho: 0.1701431627143503
h-out_data_18.arff , idx: 16 , shape: (10000, 4) , #outliers: 3184 , phi: 0.0932188841201717 , rho: 0.13060705468117195
h-out_data_11.arff , idx: 17 , shape: (10000, 5) , #outliers: 3256 , phi: 0.05731449910699792 , rho: 0.11147375391374222
h-out_data_15.arff , idx: 18 , shape: (10000, 5) , #outliers: 1511 , phi: 0.14904942965779466 , rho: 0.13195343466876028
h-out_data_8.arff , idx: 19 , shape: (10000, 29) , #outliers: 2355 , phi: 0.04009083765296971 , rho: 0.38096813446121064
m-out_data_17.arff , idx: 0 , shape: (10000, 20) , #outliers: 758 , phi: 0.047709935366078184 , rho: 0.34748649330313025
m-out_data_11.arff , idx: 1 , shape: (10000, 20) , #outliers: 912 , phi: 0.0012631375486240304 , rho: 0.5280351499146804
m-out_data_6.arff , idx: 2 , shape: (10000, 25) , #outliers: 1156 , phi: 0.009166302924487127 , rho: 0.2920103822074341
m-out_data_18.arff , idx: 3 , shape: (10000, 22) , #outliers: 898 , phi: 0.030524005877832598 , rho: 0.30498506766885314
m-out_data_2.arff , idx: 4 , shape: (10000, 25) , #outliers: 865 , phi: 0.05672043585944224 , rho: 0.18343830546574255
m-out_data_15.arff , idx: 5 , shape: (10000, 17) , #outliers: 1013 , phi: 0.0034670629024269426 , rho: 0.22607559766055937
m-out_data_14.arff , idx: 6 , shape: (10000, 10) , #outliers: 1005 , phi: 0.003996003996003995 , rho: 0.15349031962445778
m-out_data_4.arff , idx: 7 , shape: (10000, 10) , #outliers: 826 , phi: 0.03832430441521772 , rho: 0.2567823546775398
m-out_data_12.arff , idx: 8 , shape: (10000, 12) , #outliers: 746 , phi: 0.059488657221820465 , rho: 0.1789431459672988
m-out_data_8.arff , idx: 9 , shape: (10000, 19) , #outliers: 636 , phi: 0.04343621158359714 , rho: 0.2790078691941355
m-out_data_7.arff , idx: 10 , shape: (10000, 10) , #outliers: 1153 , phi: 0.05267529665921891 , rho: 0.15294133149760308
m-out_data_5.arff , idx: 11 , shape: (10000, 23) , #outliers: 1197 , phi: 0.000836120401337793 , rho: 0.5709944008923088
m-out_data_20.arff , idx: 12 , shape: (10000, 22) , #outliers: 1416 , phi: 0.0533939286791393 , rho: 0.36976181758440096
m-out_data_16.arff , idx: 13 , shape: (10000, 23) , #outliers: 1443 , phi: 0.002897235885406852 , rho: 0.5148732509080812
m-out_data_10.arff , idx: 14 , shape: (10000, 16) , #outliers: 1282 , phi: 0.08661570277542845 , rho: 0.2876060900889992
m-out_data_3.arff , idx: 15 , shape: (10000, 20) , #outliers: 947 , phi: 0.017185821697099903 , rho: 0.2109870354969831
m-out_data_13.arff , idx: 16 , shape: (10000, 13) , #outliers: 742 , phi: 0.06237750531734992 , rho: 0.3218673600420456
m-out_data_9.arff , idx: 17 , shape: (10000, 11) , #outliers: 901 , phi: 0.09476870701379443 , rho: 0.30346071125019225
m-out_data_1.arff , idx: 18 , shape: (10000, 30) , #outliers: 1063 , phi: 0.010181318448200676 , rho: 0.3019810908688578
m-out_data_19.arff , idx: 19 , shape: (10000, 27) , #outliers: 1326 , phi: 0.052561913164578346 , rho: 0.29796996774299955
moving_data_10.arff , idx: 0 , shape: (10000, 22) , #outliers: 257 , phi: 0.02130361107638492 , rho: 0.45782033840983816
moving_data_5.arff , idx: 1 , shape: (10000, 16) , #outliers: 123 , phi: 0.0846820383473583 , rho: 0.41657783985582647
moving_data_8.arff , idx: 2 , shape: (10000, 20) , #outliers: 386 , phi: 0.028163504141463614 , rho: 0.2927628046441854
moving_data_6.arff , idx: 3 , shape: (10000, 8) , #outliers: 360 , phi: 0.06363285296587574 , rho: 0.18682840186237526
moving_data_2.arff , idx: 4 , shape: (10000, 5) , #outliers: 113 , phi: 0.288617813505083 , rho: 0.30325061699341915
moving_data_1.arff , idx: 5 , shape: (10000, 4) , #outliers: 188 , phi: 0.20099639438571096 , rho: 0.20246991199625503
moving_data_15.arff , idx: 6 , shape: (10000, 12) , #outliers: 141 , phi: 0.07289877449173843 , rho: 0.7424937246549811
moving_data_3.arff , idx: 7 , shape: (10000, 21) , #outliers: 471 , phi: 0.01600617097750344 , rho: 0.3858677529422615
moving_data_4.arff , idx: 8 , shape: (10000, 9) , #outliers: 300 , phi: 0.06041833685591428 , rho: 0.3315592017898753
moving_data_18.arff , idx: 9 , shape: (10000, 10) , #outliers: 453 , phi: 0.14122489563224871 , rho: 0.2977788863658945
moving_data_11.arff , idx: 10 , shape: (10000, 14) , #outliers: 268 , phi: 0.02107948379458896 , rho: 0.39985947160852464
moving_data_13.arff , idx: 11 , shape: (10000, 3) , #outliers: 338 , phi: 0.1530602337151615 , rho: 0.15204704510168632
moving_data_9.arff , idx: 12 , shape: (10000, 19) , #outliers: 311 , phi: 0.0 , rho: 0.4111858247596892
moving_data_19.arff , idx: 13 , shape: (10000, 21) , #outliers: 101 , phi: 0.03249288727558129 , rho: 0.9586783052931137
moving_data_16.arff , idx: 14 , shape: (10000, 13) , #outliers: 364 , phi: 0.10229194754259102 , rho: 0.22511017023058072
moving_data_17.arff , idx: 15 , shape: (10000, 7) , #outliers: 292 , phi: 0.23658755549894298 , rho: 0.20540686824788382
moving_data_14.arff , idx: 16 , shape: (10000, 20) , #outliers: 382 , phi: 0.039488132001510814 , rho: 0.3849876913267618
moving_data_20.arff , idx: 17 , shape: (10000, 14) , #outliers: 180 , phi: 0.011548454292614248 , rho: 0.25212188985437506
moving_data_7.arff , idx: 18 , shape: (10000, 16) , #outliers: 404 , phi: 0.03438832412817846 , rho: 0.4737740304206124
moving_data_12.arff , idx: 19 , shape: (10000, 28) , #outliers: 449 , phi: 0.0627006937144426 , rho: 0.8905813969854761
sequential_data_19.arff , idx: 0 , shape: (10000, 26) , #outliers: 240 , phi: 0.0910513666089095 , rho: 0.8571879566453716
sequential_data_8.arff , idx: 1 , shape: (10000, 30) , #outliers: 276 , phi: 0.014705882352941173 , rho: 0.7920451394500563
sequential_data_6.arff , idx: 2 , shape: (10000, 17) , #outliers: 444 , phi: 0.08061828730646689 , rho: 0.6260576511174986
sequential_data_7.arff , idx: 3 , shape: (10000, 3) , #outliers: 272 , phi: 0.07936507936507935 , rho: 0.15313382761716798
sequential_data_14.arff , idx: 4 , shape: (10000, 10) , #outliers: 431 , phi: 0.07956656500726518 , rho: 0.403730869426184
sequential_data_3.arff , idx: 5 , shape: (10000, 28) , #outliers: 368 , phi: 0.0 , rho: 0.43386772977843224
sequential_data_18.arff , idx: 6 , shape: (10000, 4) , #outliers: 374 , phi: 0.02030420455714512 , rho: 0.12396963337879549
sequential_data_20.arff , idx: 7 , shape: (10000, 11) , #outliers: 326 , phi: 0.06642833931349683 , rho: 0.28257685804928795
sequential_data_9.arff , idx: 8 , shape: (10000, 14) , #outliers: 461 , phi: 0.055683457175176844 , rho: 0.3985339544726599
sequential_data_10.arff , idx: 9 , shape: (10000, 17) , #outliers: 185 , phi: 0.04976903375749409 , rho: 0.7285633056686859
sequential_data_17.arff , idx: 10 , shape: (10000, 21) , #outliers: 402 , phi: 0.04141479682889622 , rho: 0.32096737576038137
sequential_data_12.arff , idx: 11 , shape: (10000, 8) , #outliers: 170 , phi: 0.04652073032881081 , rho: 0.35840426214483284
sequential_data_15.arff , idx: 12 , shape: (10000, 20) , #outliers: 341 , phi: 0.008858589238689384 , rho: 0.27285741909425254
sequential_data_2.arff , idx: 13 , shape: (10000, 19) , #outliers: 227 , phi: 0.06610079529708124 , rho: 0.5829627483041332
sequential_data_4.arff , idx: 14 , shape: (10000, 21) , #outliers: 306 , phi: 0.045770279584070005 , rho: 0.611024485264151
sequential_data_5.arff , idx: 15 , shape: (10000, 23) , #outliers: 188 , phi: 0.08408038147939628 , rho: 0.6488749919919248
sequential_data_11.arff , idx: 16 , shape: (10000, 29) , #outliers: 435 , phi: 0.020474358612756746 , rho: 0.2451218099895507
sequential_data_13.arff , idx: 17 , shape: (10000, 27) , #outliers: 377 , phi: 0.013491538245999449 , rho: 0.6945627429616118
sequential_data_1.arff , idx: 18 , shape: (10000, 12) , #outliers: 146 , phi: 0.025495468010914412 , rho: 0.4191780839576974
sequential_data_16.arff , idx: 19 , shape: (10000, 30) , #outliers: 381 , phi: 0.022820219239214398 , rho: 0.23043675811308148
shuttle.arff , idx: 0 , shape: (49097, 9) , #outliers: 3511 , phi: 0.016310528240866345 , rho: 0.7200471329763727
swan.arff , idx: 0 , shape: (331185, 12) , #outliers: 56943 , phi: 0.19717287986645435 , rho: 0.3833337861363823
yahoo.arff , idx: 0 , shape: (94866, 3) , #outliers: 1870 , phi: 0.49558128355737113 , rho: 0.518422948634986
optout.arff , idx: 0 , shape: (2317922, 5) , #outliers: 585349 , phi: 0.04706867515300138 , rho: 3880.97750351592
No arguments given. Running default configurations.
/home/cn/anaconda3/bin/python3 run_evaldata.py ./datasets/synthetic/base/arff 1
/home/cn/anaconda3/bin/python3 run_evaldata.py ./datasets/synthetic/nonstat/arff 1
/home/cn/anaconda3/bin/python3 run_evaldata.py ./datasets/synthetic/overlap/arff 1
/home/cn/anaconda3/bin/python3 run_evaldata.py ./datasets/synthetic/close/arff 1
/home/cn/anaconda3/bin/python3 run_evaldata.py ./datasets/synthetic/dens-diff/arff 1
/home/cn/anaconda3/bin/python3 run_evaldata.py ./datasets/synthetic/h-out/arff 1
/home/cn/anaconda3/bin/python3 run_evaldata.py ./datasets/synthetic/m-out/arff 1
/home/cn/anaconda3/bin/python3 run_evaldata.py ./datasets/synthetic/moving/arff 1
/home/cn/anaconda3/bin/python3 run_evaldata.py ./datasets/synthetic/sequential/arff 1
/home/cn/anaconda3/bin/python3 run_evaldata.py ./datasets/real/shuttle 0 
/home/cn/anaconda3/bin/python3 run_evaldata.py ./datasets/real/swan 0
/home/cn/anaconda3/bin/python3 run_evaldata.py ./datasets/real/yahoo 0
/home/cn/anaconda3/bin/python3 run_evaldata.py ./datasets/real/optout 0 
