@relation example
@attribute 1 numeric
@attribute 2 numeric
@attribute class {0,1}
@attribute den {1,2,3,4}
@attribute clus {0,1,2,3,4}

@data
21.846,19.2,0,3,2
23.465,18.807,0,3,2
6.9622,4.755,0,4,1
4.8853,5.9241,0,4,1
5.5892,4.2276,0,4,1
5.4333,3.9569,0,4,1
4.476,6.8796,0,4,1
22.529,19.333,0,3,2
5.5457,4.3719,0,4,1
19.862,23.635,0,3,2
22.05,27.731,0,3,2
4.8315,3.1837,0,4,1
20.511,24.591,0,3,2
26.25,25.038,0,3,2
6.499,5.7973,0,4,1
19.681,25.485,0,3,2
23.931,24.766,0,3,2
5.1574,6.7899,0,4,1
23.144,20.844,0,3,2
5.3337,5.2211,0,4,1
25.252,22.236,0,3,2
4.9784,5.2441,0,4,1
4.7846,5.6975,0,4,1
26.051,15.453,0,2,2
22.136,20.146,0,3,2
20.669,24.358,0,3,2
16.174,23.091,0,3,2
4.1123,3.6541,0,4,1
5.9995,4.9732,0,4,1
18.613,27.142,0,3,2
25.151,19.791,0,3,2
5.0329,5.0199,0,4,1
25.028,21.934,0,3,2
25.065,16.269,0,3,2
19.069,18.392,0,3,2
6.7261,4.6503,0,4,1
4.7027,5.7005,0,4,1
19.735,16.685,0,3,2
3.3847,4.8607,0,4,1
23.183,20.369,0,3,2
4.1819,6.0863,0,4,1
22.429,19.598,0,3,2
6.0243,5.3457,0,4,1
6.0252,4.717,0,4,1
4.0124,5.1917,0,4,1
20.433,16.082,0,3,2
4.6254,3.5171,0,4,1
20.516,23.212,0,3,2
5.3141,4.4868,0,4,1
20.859,20.346,0,3,2
15.034,23.784,0,2,2
6.1983,5.2168,0,4,1
4.339,5.231,0,4,1
23.543,20.971,0,3,2
5.2331,4.0223,0,4,1
5.1424,4.9786,0,4,1
4.6592,4.6548,0,4,1
23.196,22.294,0,3,2
5.2381,5.139,0,4,1
20.944,17.729,0,3,2
3.4817,4.1333,0,4,1
22.402,23.117,0,3,2
23.402,23.984,0,3,2
4.8723,4.6444,0,4,1
25.509,20.701,0,3,2
5.9616,5.3539,0,4,1
21.881,20.57,0,3,2
20.111,18.138,0,3,2
21.743,23.267,0,3,2
27.62,22.647,0,3,2
24.992,15.445,0,2,2
22.928,21.374,0,3,2
20.955,20.379,0,3,2
6.9124,4.7756,0,4,1
21.715,26.168,0,3,2
5.1768,5.5068,0,4,1
7.3012,5.4917,0,3,1
4.6942,4.1744,0,4,1
4.6612,4.9019,0,4,1
18.27,23.058,0,3,2
3.5785,5.6464,0,4,1
26.426,25.809,0,3,2
5.3412,5.5382,0,4,1
24.425,20.511,0,3,2
20.038,24.402,0,3,2
18.148,23.45,0,3,2
4.7269,4.894,0,4,1
25.044,25.188,0,3,2
22.609,29.149,0,2,2
24.545,19.939,0,3,2
22.87,23.623,0,3,2
4.062,4.7428,0,4,1
16.963,21.573,0,3,2
26.014,23.701,0,3,2
20.456,20.547,0,3,2
3.9034,4.3863,0,4,1
5.1703,5.4029,0,4,1
3.3857,4.9917,0,4,1
4.666,4.7304,0,4,1
18.287,22.295,0,3,2
23.251,20.828,0,3,2
18.401,16.604,0,3,2
19.068,21.236,0,3,2
23.634,19.527,0,3,2
5.1914,3.9768,0,4,1
4.2273,5.7264,0,4,1
5.5685,5.6767,0,4,1
25.055,18.931,0,3,2
3.5267,5.2927,0,4,1
4.3087,5.8252,0,4,1
4.0183,5.4495,0,4,1
20.302,17.451,0,3,2
18.138,21.726,0,3,2
5.1734,4.6657,0,4,1
4.546,4.1037,0,4,1
25.875,24.364,0,3,2
22.109,22.218,0,3,2
5.2097,6.1773,0,4,1
4.628,5.5432,0,4,1
25.528,18.408,0,3,2
6.1583,4.6407,0,4,1
26.136,24.345,0,3,2
20.386,22.344,0,3,2
18.037,23.443,0,3,2
15.059,19.674,0,2,2
4.4261,5.0677,0,4,1
3.9371,5.5776,0,4,1
19.178,23.06,0,3,2
24.023,25.81,0,3,2
25.183,22.835,0,3,2
18.966,24.877,0,3,2
5.692,5.8384,0,4,1
21.635,21.83,0,3,2
23.016,21.149,0,3,2
4.8172,5.5025,0,4,1
18.434,32.191,0,2,2
18.549,22.167,0,3,2
17.598,21.481,0,3,2
22.826,20.638,0,3,2
25.334,21.47,0,3,2
5.6704,6.2007,0,4,1
22.652,22.227,0,3,2
25.605,26.03,0,3,2
5.3061,4.079,0,4,1
23.082,21.952,0,3,2
23.355,20.701,0,3,2
4.7938,5.8286,0,4,1
4.1279,6.097,0,4,1
5.8232,4.3619,0,4,1
4.5976,5.9564,0,4,1
4.4181,6.3155,0,4,1
5.1483,5.3094,0,4,1
24.857,25.249,0,3,2
5.3132,5.091,0,4,1
21.439,24.493,0,3,2
22.722,30.214,0,2,2
24.615,27.309,0,3,2
23.529,26.631,0,3,2
20.522,23.331,0,3,2
5.4022,4.2209,0,4,1
25.103,19.483,0,3,2
4.6675,5.8145,0,4,1
21.675,22.484,0,3,2
5.4366,4.4633,0,4,1
5.2049,3.6215,0,4,1
24.027,21.231,0,3,2
25.579,23.634,0,3,2
21.924,25.519,0,3,2
5.8126,5.2778,0,4,1
17.02,19.465,0,3,2
3.5829,4.8522,0,4,1
23.325,22.326,0,3,2
5.5462,5.1788,0,4,1
25.949,20.505,0,3,2
3.2184,4.9196,0,4,1
22.892,23.563,0,3,2
26.159,23.678,0,3,2
4.4702,4.9121,0,4,1
3.8999,4.0866,0,4,1
22.553,25.518,0,3,2
20.224,23.843,0,3,2
4.8106,4.1317,0,4,1
21.304,26.413,0,3,2
19.156,25.425,0,3,2
6.4847,5.4912,0,4,1
4.3548,4.5109,0,4,1
23.85,19.409,0,3,2
24.801,18.047,0,3,2
5.2809,5.0695,0,4,1
23.299,22.164,0,3,2
4.796,5.3224,0,4,1
5.58,5.6475,0,4,1
22.117,27.945,0,3,2
25.153,21.041,0,3,2
6.0921,3.4366,0,4,1
4.5019,5.7786,0,4,1
20.45,23.922,0,3,2
6.2721,3.8649,0,4,1
25.198,18.035,0,3,2
6.1638,5.2463,0,4,1
4.2787,4.6807,0,4,1
18.329,22.389,0,3,2
4.7202,4.7485,0,4,1
4.4763,5.611,0,4,1
24.63,27.038,0,3,2
22.637,21.514,0,3,2
6.0221,5.3035,0,4,1
21.957,24.2,0,3,2
19.434,21.985,0,3,2
4.6226,4.6021,0,4,1
19.197,20.844,0,3,2
4.2369,4.4938,0,4,1
5.4292,2.9949,0,3,1
21.472,17.726,0,3,2
22.89,29.112,0,2,2
18.453,22.37,0,3,2
20.51,23.465,0,3,2
4.8374,5.556,0,4,1
26.489,19.89,0,3,2
4.3861,6.4518,0,4,1
4.9569,3.9111,0,4,1
4.1352,4.1264,0,4,1
27.35,24.45,0,3,2
26.331,24.575,0,3,2
21.611,22.237,0,3,2
4.4537,6.0957,0,4,1
4.8299,5.5323,0,4,1
20.567,22.406,0,3,2
5.3603,4.1632,0,4,1
5.3896,5.7383,0,4,1
5.6209,5.2532,0,4,1
23.535,23.433,0,3,2
18.688,24.547,0,3,2
5.1332,4.5999,0,4,1
22.55,17.215,0,3,2
25.346,27.004,0,3,2
5.7054,5.1538,0,4,1
5.7661,4.6928,0,4,1
22.506,24.173,0,3,2
5.1187,5.0205,0,4,1
5.2521,4.4933,0,4,1
18.661,16.96,0,3,2
5.5077,4.3269,0,4,1
6.1239,5.3842,0,4,1
24.869,20.333,0,3,2
29.589,15.919,0,2,2
21.716,21.613,0,3,2
21.706,23.337,0,3,2
4.3988,6.659,0,4,1
23.427,25.128,0,3,2
6.3182,5.1352,0,4,1
6.1236,4.3432,0,4,1
5.1076,5.2589,0,4,1
4.4591,4.1088,0,4,1
21.443,26.259,0,3,2
4.6571,4.7581,0,4,1
21.527,19.634,0,3,2
6.0414,5.4139,0,4,1
24.079,15.65,0,3,2
21.803,15.979,0,3,2
23.838,25.295,0,3,2
5.0404,4.668,0,4,1
5.197,5.1152,0,4,1
3.4164,4.374,0,4,1
4.3723,5.202,0,4,1
19.783,24.643,0,3,2
3.8637,4.6488,0,4,1
4.805,5.2781,0,4,1
19.23,21.825,0,3,2
5.1658,3.4649,0,4,1
17.087,15.796,0,2,2
19.49,22.002,0,3,2
18.683,20.995,0,3,2
16.947,22.246,0,3,2
5.8094,5.027,0,4,1
24.944,27.494,0,3,2
4.5126,5.3956,0,4,1
5.663,4.1376,0,4,1
18,21.64,0,3,2
22.291,23.112,0,3,2
5.1401,5.2602,0,4,1
20.378,23.346,0,3,2
4.6529,4.3728,0,4,1
5.5653,4.756,0,4,1
17.707,21.72,0,3,2
4.181,3.3067,0,4,1
4.4905,5.3092,0,4,1
19.767,23.55,0,3,2
28.202,19.929,0,3,2
21.862,21.247,0,3,2
5.4171,5.629,0,4,1
21.669,22.329,0,3,2
5.3368,4.8824,0,4,1
5.5416,4.274,0,4,1
23.588,22.489,0,3,2
19.544,26.917,0,3,2
5.2113,3.966,0,4,1
23.609,25.387,0,3,2
24.788,18.963,0,3,2
21.616,17.024,0,3,2
4.7883,5.4468,0,4,1
3.9156,4.967,0,4,1
4.205,4.6443,0,4,1
4.8068,5.2457,0,4,1
5.3028,4.4161,0,4,1
4.8676,3.5,0,4,1
21.561,24.236,0,3,2
23.318,22.148,0,3,2
18.693,14.859,0,2,2
24.277,27.864,0,3,2
21.567,23.53,0,3,2
5.0015,6.3917,0,4,1
18.228,25.779,0,3,2
21.674,22.229,0,3,2
5.8526,4.9337,0,4,1
20.676,22.543,0,3,2
4.9086,4.3515,0,4,1
3.9524,4.8845,0,4,1
5.3223,6.1871,0,4,1
5.0626,5.6502,0,4,1
4.2361,5.6149,0,4,1
5.2135,3.5878,0,4,1
5.2872,3.5655,0,4,1
6.1766,6.3304,0,4,1
4.9289,5.1114,0,4,1
19.855,24.404,0,3,2
20.982,24.558,0,3,2
18.309,22.625,0,3,2
16.898,22.023,0,3,2
6.9604,5.0077,0,4,1
4.708,4.8056,0,4,1
17.872,19.995,0,3,2
21.838,25.357,0,3,2
5.5078,4.1144,0,4,1
4.6662,4.4621,0,4,1
3.9415,6.2207,0,4,1
5.0985,5.0697,0,4,1
4.93,5.7231,0,4,1
22.579,22.102,0,3,2
5.2166,4.7336,0,4,1
20.541,23.317,0,3,2
20.079,25.769,0,3,2
23.96,26.392,0,3,2
26.024,17.544,0,3,2
4.8112,5.1532,0,4,1
5.0474,6.0321,0,4,1
4.5729,5.2006,0,4,1
4.2944,6.3366,0,4,1
18.804,19.915,0,3,2
22.879,24.289,0,3,2
19.63,19.165,0,3,2
5.209,6.1348,0,4,1
5.4343,5.8974,0,4,1
20.657,20.3,0,3,2
27.821,20.375,0,3,2
26.39,18.351,0,3,2
3.9986,5.4952,0,4,1
6.6069,5.8962,0,4,1
3.8186,4.8671,0,4,1
5.1674,5.9055,0,4,1
22.337,24.535,0,3,2
6.448,5.4336,0,4,1
19.596,18.249,0,3,2
3.3181,5.203,0,4,1
4.9986,4.667,0,4,1
26.658,20.586,0,3,2
20.381,23.356,0,3,2
20.179,14.713,0,2,2
22.916,21.709,0,3,2
20.12,16.977,0,3,2
3.8142,6.4137,0,4,1
5.8925,5.8532,0,4,1
23.917,26.807,0,3,2
4.1046,5.8628,0,4,1
5.0005,4.1299,0,4,1
4.9356,5.5806,0,4,1
18.426,25.423,0,3,2
6.228,5.5522,0,4,1
25.719,23.832,0,3,2
6.4278,5.4113,0,4,1
5.2361,5.4585,0,4,1
19.656,21.219,0,3,2
3.811,3.9613,0,4,1
4.3887,5.1608,0,4,1
3.7983,5.5231,0,4,1
5.9274,3.6811,0,4,1
5.5529,4.1734,0,4,1
4.3096,5.2348,0,4,1
22.325,21.523,0,3,2
5.024,4.7607,0,4,1
4.6941,4.5366,0,4,1
3.7638,4.2754,0,4,1
3.305,5.4325,0,4,1
5.8759,5.4587,0,4,1
5.5287,4.7214,0,4,1
20.156,22.108,0,3,2
3.7572,3.964,0,4,1
6.0054,4.3877,0,4,1
23.31,17.247,0,3,2
3.2167,5.4037,0,4,1
5.5351,4.8245,0,4,1
24.172,20.951,0,3,2
5.7869,5.0358,0,4,1
4.9018,5.0327,0,4,1
21.177,23.114,0,3,2
4.7688,5.9742,0,4,1
24.937,23.575,0,3,2
6.8253,5.9687,0,3,1
5.2991,5.6147,0,4,1
26.496,21.907,0,3,2
20.797,19.935,0,3,2
4.7447,6.1038,0,4,1
22.754,24.728,0,3,2
19.102,23.214,0,3,2
19.746,15.457,0,2,2
17.545,19.458,0,3,2
5.5091,5.6066,0,4,1
5.4404,5.0533,0,4,1
22.717,24.245,0,3,2
4.1037,6.019,0,4,1
5.3553,5.1954,0,4,1
5.3888,5.5492,0,4,1
19.854,27.82,0,3,2
4.4692,5.5995,0,4,1
18.735,23.611,0,3,2
20.107,23.476,0,3,2
2.9944,5.5752,0,3,1
18.08,27.673,0,2,2
3.5302,4.0922,0,4,1
5.5064,4.75,0,4,1
5.0571,5.1023,0,4,1
4.2831,5.2175,0,4,1
4.1899,4.5197,0,4,1
21.231,28.45,0,3,2
4.5788,5.0248,0,4,1
6.7911,5.2656,0,4,1
14.313,17.804,0,2,2
4.7416,5.2563,0,4,1
23.62,21.357,0,3,2
4.6521,4.2802,0,4,1
4.2897,5.1061,0,4,1
4.3619,4.5542,0,4,1
19.618,18.936,0,3,2
5.0173,4.9386,0,4,1
26.754,24.277,0,3,2
3.0749,3.5727,0,3,1
20.895,20.201,0,3,2
18.038,24.144,0,3,2
4.7641,6.1885,0,4,1
21.748,20.006,0,3,2
4.8755,3.7187,0,4,1
26.004,22.732,0,3,2
4.557,5.6165,0,4,1
5.0148,4.8864,0,4,1
19.077,24.333,0,3,2
5.2092,5.1953,0,4,1
22.403,23.177,0,3,2
4.9583,4.7504,0,4,1
5.2248,5.1554,0,4,1
5.7251,4.4851,0,4,1
4.996,4.1913,0,4,1
6.0658,5.6306,0,4,1
4.9046,5.0815,0,4,1
7.29,6.2955,0,3,1
22.065,22.728,0,3,2
24.793,19.252,0,3,2
19.746,23.77,0,3,2
4.5464,3.6601,0,4,1
23.101,20.45,0,3,2
22.144,23.65,0,3,2
24.54,21.996,0,3,2
20.448,20.762,0,3,2
22.088,20.634,0,3,2
4.9473,6.005,0,4,1
5.7113,6.4454,0,4,1
5.9052,3.6193,0,4,1
24.874,17.758,0,3,2
5.2512,4.9656,0,4,1
5.8796,4.7378,0,4,1
5.4715,4.8815,0,4,1
3.9059,4.3027,0,4,1
4.8175,5.4171,0,4,1
21.425,23.943,0,3,2
3.8352,4.8398,0,4,1
18.629,19.066,0,3,2
4.4076,5.4209,0,4,1
4.9618,4.6069,0,4,1
3.4743,4.8741,0,4,1
5.4858,4.3615,0,4,1
5.8303,4.9699,0,4,1
19.779,23.569,0,3,2
25.948,17.734,0,3,2
20.531,22.158,0,3,2
30.286,24.459,0,2,2
5.6292,4.2666,0,4,1
6.265,4.6392,0,4,1
4.3731,6.2715,0,4,1
5.8026,5.3612,0,4,1
20.614,22.094,0,3,2
3.9843,5.8545,0,4,1
17.732,24.109,0,3,2
19.209,17.386,0,3,2
24.779,21.893,0,3,2
5.1007,3.7715,0,4,1
5.8562,5.8475,0,4,1
16.279,22.478,0,3,2
27.944,18.904,0,3,2
22.63,28.547,0,3,2
3.4897,4.1777,0,4,1
26.518,22.35,0,3,2
5.3726,5.023,0,4,1
5.279,6.6111,0,4,1
4.6318,4.825,0,4,1
27.321,23.523,0,3,2
24.525,19.319,0,3,2
5.7324,6.1978,0,4,1
5.6712,4.0103,0,4,1
4.7886,6.0514,0,4,1
5.0293,6.3045,0,4,1
4.853,5.3043,0,4,1
4.4371,5.714,0,4,1
22.112,22.482,0,3,2
4.4971,5.5557,0,4,1
21.686,19.528,0,3,2
4.7203,5.3755,0,4,1
20.415,25.842,0,3,2
14.302,24.399,0,2,2
4.3043,5.4089,0,4,1
4.9914,5.1247,0,4,1
4.1405,5.7123,0,4,1
5.159,4.1161,0,4,1
4.651,4.6919,0,4,1
26.496,23.793,0,3,2
6.1362,5.7442,0,4,1
6.0762,4.3652,0,4,1
29.287,16.628,0,2,2
20.154,18.904,0,3,2
5.7422,3.927,0,4,1
20.982,22.376,0,3,2
19.75,17.826,0,3,2
23.071,24.469,0,3,2
18.226,24.056,0,3,2
23.573,20.564,0,3,2
5.7417,6.2046,0,4,1
21.946,20.562,0,3,2
15.418,22.144,0,2,2
5.2952,5.2986,0,4,1
21.676,21.72,0,3,2
3.7576,4.9883,0,4,1
5.899,4.6606,0,4,1
4.5699,4.5587,0,4,1
4.7107,6.4626,0,4,1
23.761,18.475,0,3,2
23.29,21.411,0,3,2
20.252,21.67,0,3,2
21.174,19.528,0,3,2
22.823,19.507,0,3,2
4.8471,4.8241,0,4,1
18.874,18.992,0,3,2
20.5,20.217,0,3,2
4.7346,5.2318,0,4,1
21.948,30.548,0,2,2
4.4835,4.3436,0,4,1
5.5201,5.2712,0,4,1
4.169,6.0522,0,4,1
6.4208,4.8731,0,4,1
3.8766,5.9931,0,4,1
23.303,20.749,0,3,2
7.0791,5.8453,0,3,1
22.846,24.496,0,3,2
22.227,21.95,0,3,2
22.621,29.481,0,2,2
3.5896,4.6294,0,4,1
18.625,21.612,0,3,2
15.55,25.896,0,2,2
17.989,25.166,0,3,2
4.3455,5.6715,0,4,1
5.6975,4.6534,0,4,1
17.424,17.165,0,2,2
4.7987,4.3273,0,4,1
20.372,24.069,0,3,2
4.3577,4.8994,0,4,1
23.856,18.325,0,3,2
20.448,21.404,0,3,2
5.5443,5.8244,0,4,1
21.398,22.572,0,3,2
23.221,19.631,0,3,2
21.851,18.24,0,3,2
4.0454,5.3433,0,4,1
5.5539,4.7043,0,4,1
4.8889,4.7729,0,4,1
5.9249,4.8722,0,4,1
3.2802,3.3408,0,3,1
28.393,21.183,0,3,2
3.7197,4.0559,0,4,1
4.2132,6.3891,0,4,1
26.271,22.679,0,3,2
5.1628,4.9065,0,4,1
4.397,4.7217,0,4,1
3.9535,5.5693,0,4,1
20.566,21.627,0,3,2
3.7823,5.1522,0,4,1
25.393,26.049,0,3,2
5.6407,5.5307,0,4,1
3.5991,4.7714,0,4,1
4.9117,4.8619,0,4,1
27.248,20.903,0,3,2
26.307,24.069,0,3,2
20.865,23.259,0,3,2
5.0604,4.2438,0,4,1
27.341,17.199,0,2,2
23.667,21.479,0,3,2
5.4174,4.14,0,4,1
22.464,25.075,0,3,2
28.903,22.586,0,2,2
25.753,26.353,0,3,2
5.2249,5.03,0,4,1
18.451,21.704,0,3,2
5.5105,5.0811,0,4,1
15.971,17.967,0,2,2
24.029,24.749,0,3,2
25.21,23.081,0,3,2
3.4137,5.6971,0,4,1
20.306,23.529,0,3,2
4.1656,4.6966,0,4,1
5.1235,4.2708,0,4,1
5.5654,5.4415,0,4,1
17.675,24.293,0,3,2
6.1175,5.1864,0,4,1
3.3182,5.0157,0,4,1
7.2764,4.2919,0,3,1
5.4985,5.485,0,4,1
16.644,18.607,0,3,2
4.8226,4.7921,0,4,1
25.024,22.11,0,3,2
5.3059,5.3005,0,4,1
20.565,20.864,0,3,2
4.2915,5.1449,0,4,1
4.887,4.5734,0,4,1
4.9571,5.7077,0,4,1
22.845,24.477,0,3,2
14.663,22.087,0,2,2
3.9801,5.3716,0,4,1
3.5812,5.7674,0,4,1
6.4119,6.5222,0,3,1
4.0544,4.6129,0,4,1
26.84,26.461,0,3,2
5.2272,4.9301,0,4,1
4.105,5.142,0,4,1
5.5537,5.3612,0,4,1
5.5325,5.52,0,4,1
5.1426,5.2,0,4,1
20.86,20.923,0,3,2
5.1961,4.4899,0,4,1
6.2173,4.6217,0,4,1
3.7356,4.4539,0,4,1
20.846,24.53,0,3,2
19.475,20.877,0,3,2
21.695,20.054,0,3,2
4.4054,4.9126,0,4,1
19.953,20.737,0,3,2
21.019,21.036,0,3,2
18.635,18.078,0,3,2
22.753,24.879,0,3,2
4.7095,4.6265,0,4,1
6.5391,5.3407,0,4,1
4.2112,6.1157,0,4,1
26.108,20.623,0,3,2
4.6388,5.7618,0,4,1
5.4226,5.2694,0,4,1
19.532,20.011,0,3,2
6.8345,5.9902,0,3,1
4.955,4.5131,0,4,1
22.667,22.955,0,3,2
5.0126,5.5057,0,4,1
4.0416,5.4942,0,4,1
24.59,21.425,0,3,2
20.164,25.024,0,3,2
18.618,24.006,0,3,2
14.77,23.786,0,2,2
5.0831,5.6638,0,4,1
4.2319,5.6356,0,4,1
20.177,16.4,0,3,2
24.813,25.201,0,3,2
4.5118,4.8844,0,4,1
4.3779,4.825,0,4,1
4.5007,5.2033,0,4,1
6.2326,5.5555,0,4,1
26.066,22.627,0,3,2
14.224,23.355,0,2,2
20.153,23.738,0,3,2
19.165,23.472,0,3,2
4.8748,4.7659,0,4,1
20.233,20.683,0,3,2
21.535,20.365,0,3,2
23.6,21.767,0,3,2
5.6089,2.9942,0,3,1
20.337,25.868,0,3,2
19.385,18.136,0,3,2
26.438,23.4,0,3,2
26.647,22.895,0,3,2
18.483,19.093,0,3,2
5.364,6.161,0,4,1
5.4154,5.3325,0,4,1
19.384,18.063,0,3,2
17.631,25.748,0,3,2
19.408,26.35,0,3,2
3.8543,4.4151,0,4,1
5.4506,5.8193,0,4,1
4.5808,4.8498,0,4,1
20.882,22.393,0,3,2
3.009,6.493,0,3,1
22.18,23.536,0,3,2
28.098,19.68,0,3,2
20.837,17.956,0,3,2
6.1054,4.2071,0,4,1
22.733,22.877,0,3,2
4.7867,5.2594,0,4,1
5.7536,4.8392,0,4,1
22.558,20.755,0,3,2
23.855,17.581,0,3,2
7,14,1,1,0
5.4932,5.4314,0,4,1
17.546,21.008,0,3,2
4.8333,4.6624,0,4,1
6.1654,5.0069,0,4,1
5.5838,6.2614,0,4,1
4.6109,5.4989,0,4,1
21.07,17.764,0,3,2
24.707,19.372,0,3,2
4.8889,4.1372,0,4,1
21.304,19.527,0,3,2
25.749,20.569,0,3,2
5.4073,4.1155,0,4,1
4.658,5.5523,0,4,1
22.422,20.165,0,3,2
26.623,17.504,0,3,2
22.352,23.229,0,3,2
3.6526,4.0611,0,4,1
5.6293,3.8224,0,4,1
25.079,19.825,0,3,2
4.8685,5.023,0,4,1
5.41,4.5474,0,4,1
25.435,22.019,0,3,2
19.59,21.872,0,3,2
21.791,23.154,0,3,2
3.9059,5.9029,0,4,1
5.8813,5.9972,0,4,1
3.2568,4.7499,0,4,1
6.1118,4.0043,0,4,1
5.4204,4.9786,0,4,1
4.0979,5.0465,0,4,1
5.7279,4.2883,0,4,1
15.472,25.899,0,2,2
5.3606,4.2663,0,4,1
4.8652,5.2121,0,4,1
28.221,22.577,0,3,2
24.97,18.757,0,3,2
15.045,21.377,0,2,2
29.421,23.826,0,2,2
25.71,19.91,0,3,2
6.9428,6.6294,0,3,1
4.5222,4.8545,0,4,1
22.705,23.492,0,3,2
4.4749,6.1336,0,4,1
18.287,23.062,0,3,2
3.7995,4.6478,0,4,1
5.1587,5.1213,0,4,1
22.049,21.812,0,3,2
4.9994,4.943,0,4,1
20.275,22.194,0,3,2
23.135,19.73,0,3,2
17.356,26.074,0,3,2
6.08,5.3439,0,4,1
5.9847,4.0558,0,4,1
25.824,24.928,0,3,2
3.6248,6.0682,0,4,1
22.751,23.197,0,3,2
5.4771,3.4881,0,4,1
21.249,24.938,0,3,2
22.575,25.249,0,3,2
22.263,21.553,0,3,2
